1.055,3.180357143,,7.39,2536.37,,,,,
1.051785714,3.077142857,,7.42,259.06,,,,,
1.048571429,2.973928571,,7.44,31.33,,Average PH Only,0.62122636,Average PH,7.16748
1.04,2.870714286,,7.42,8.53,,Average Dissolved Oxygen Only,47.49539082,Average Dissolved Oxygen,169.95816
1.04,2.7675,,7.44,6.27,,,,,
1.04,2.664285714,,7.45,6.07,,,,,
1.04,3,,7.45,6.05,,PH Gain,11.53763019,,
1.04,2.2,,7.47,6.07,,Dissolved Oxygen Gain,3.578413759,,
1.04,2.12,,7.47,6.07,,,,,
1.01,2.12,,7.47,6.09,,,,,
1.01,2.12,,7.47,6.1,,,,,
1.03,2.09,,7.5,6.1,,,,,
1.01,2.11,,7.48,6.1,,,,,
1.01,2.12,,7.5,6.1,,,,,
1.01,2.09,,7.5,6.12,,,,,
1.01,2.09,,0.75,6.12,,,,,
1.01,2.09,,6.83,6.1,,,,,
1.01,2.09,,7.43,6.1,,,,,
0.1,2.09,,7.53,2576.33,,,,,
0.92,2.09,,7.53,263.16,,,,,
1,2.09,,7.53,31.84,,,,,
0.98,877.38,,7.53,8.71,,,,,
1.01,89.62,,7.55,6.38,,,,,
0.98,10.84,,7.53,6.17,,,,,
0.98,2.97,,7.55,6.15,,,,,
0.98,2.18,,7.56,6.14,,,,,
1.01,2.1,,7.53,6.14,,,,,
0.98,2.09,,7.55,6.14,,,,,
0.98,2.09,,7.56,6.14,,,,,
0.98,2.09,,7.56,6.14,,,,,
0.98,2.09,,7.56,6.16,,,,,
0.98,2.09,,7.56,6.14,,,,,
0.98,2.07,,7.56,6.14,,,,,
0.98,2.09,,0.76,6.14,,,,,
0.98,2.09,,6.88,6.14,,,,,
0.98,2.07,,7.51,6.14,,,,,
0.1,2.07,,7.58,2576.35,,,,,
0.89,2.07,,7.58,263.18,,,,,
0.97,2.07,,7.58,31.86,,,,,
0.98,867.46,,7.58,8.73,,,,,
0.98,88.61,,7.58,6.42,,,,,
0.98,10.72,,7.58,6.19,,,,,
0.98,2.91,,7.61,6.17,,,,,
