2023-03-14 16:24:44.507001,25.45,6.92,308.83,16.41
2023-03-14 16:24:44.922908,25.02,6.88,329.56,15.86
2023-03-14 16:24:45.353399,25.29,6.21,377.86,16.46
2023-03-14 16:24:45.710764,25.99,6.64,444.47,15.72
2023-03-14 16:24:46.179121,25.95,6.08,310.39,16.46
2023-03-14 16:24:46.477949,25.56,6.16,368.85,15.90
2023-03-14 16:24:46.959687,25.73,6.85,445.87,15.21
2023-03-14 16:24:47.320493,25.87,6.18,415.84,16.48
2023-03-14 16:24:47.821752,25.29,6.64,335.66,15.27
2023-03-14 16:24:48.283146,25.19,6.91,365.94,16.79
2023-03-14 16:24:48.784068,25.38,6.61,361.84,16.59
2023-03-14 16:24:49.241939,25.44,6.36,420.57,15.06
2023-03-14 16:24:49.742654,25.13,6.06,333.54,15.73
2023-03-14 16:24:50.203384,25.57,6.11,411.39,15.16
2023-03-14 16:24:50.684105,25.10,6.61,423.49,15.12
2023-03-14 16:24:51.174807,25.51,6.82,352.37,15.82
2023-03-14 16:24:51.655602,25.20,6.80,425.26,16.98
2023-03-14 16:24:52.156409,25.62,6.70,317.40,16.57
2023-03-14 16:24:52.637260,25.09,6.35,432.14,15.70
2023-03-14 16:24:53.128306,25.97,6.73,314.02,16.35
2023-03-14 16:24:53.619037,25.19,6.20,384.99,15.52
2023-03-14 16:24:54.089868,25.47,6.34,315.65,15.08
2023-03-14 16:24:54.540637,25.04,6.48,314.43,15.62
2023-03-14 16:24:55.021731,25.99,6.78,355.59,16.57
2023-03-14 16:24:55.482156,25.89,6.84,314.63,16.10
2023-03-14 16:24:55.822681,25.96,6.66,333.67,16.74
2023-03-14 16:24:56.303350,25.96,6.45,353.50,15.70
2023-03-14 16:24:56.775557,25.13,6.65,340.30,16.18
2023-03-14 16:24:57.266644,25.69,6.59,345.61,15.51
2023-03-14 16:24:57.787098,25.92,6.18,321.07,15.64
2023-03-14 16:24:58.288761,25.10,6.88,362.72,15.53
2023-03-14 16:24:58.649488,25.58,6.83,371.14,15.69
2023-03-14 16:24:59.020544,25.56,6.49,346.96,15.86
2023-03-14 16:24:59.381261,25.54,6.34,321.57,15.41
2023-03-14 16:24:59.942602,25.00,6.65,382.04,15.31
2023-03-14 16:25:00.403593,25.82,6.47,369.12,16.67
2023-03-14 16:25:00.965237,25.21,6.22,384.21,16.58
2023-03-14 16:25:01.456224,25.65,6.44,416.10,16.07
